[PHTITLE]INTERNET AND COMPUTER TERMS - Part 3

 [PH-HI]ram resident[/PH-HI]    residente en memoria
 [PH-HI]unbundled system[/PH-HI]    sistema disociable
 [PH-HI]underline[/PH-HI]    subrayado
 [PH-HI]undo, to[/PH-HI]    deshacer
 [PH-HI]unerase[/PH-HI]    recuperar
 [PH-HI]unfreeze, to[/PH-HI]    liberar
 [PH-HI]ungroup, to[/PH-HI]    desagrupar
 [PH-HI]uninstall, to[/PH-HI]    desinstalar
 [PH-HI]uninterrupted power supply (ups)[/PH-HI]    sistema de alimentación ininterrumpida (sai)
 [PH-HI]unique[/PH-HI]    único
 [PH-HI]unit[/PH-HI]    unidad
 [PH-HI]universal[/PH-HI]    universal
 [PH-HI]universal asynchronous receiver-transmitter (uart)[/PH-HI]    receptor-transmisor asíncrono universal
 [PH-HI]universal language[/PH-HI]    lenguaje universal
 [PH-HI]universal naming convention (unc)[/PH-HI]    convención de nomenclatura universal
 [PH-HI]unknown[/PH-HI]    desconocido
 [PH-HI]unload, to[/PH-HI]    descargar
 [PH-HI]unlock, to[/PH-HI]    desbloquear
 [PH-HI]unmount, to[/PH-HI]    desmontar
 [PH-HI]unpack, to[/PH-HI]    desembalar, desempaquetar
 [PH-HI]unrecognized[/PH-HI]    sin identificar
 [PH-HI]up[/PH-HI]    arriba
 [PH-HI]upc (universal product code)[/PH-HI]    código de producto universal
 [PH-HI]update, to[/PH-HI]    actualizar (dentro de la misma versión), mejorar
 [PH-HI]upgrade, to[/PH-HI]    actualizar (a nivel de diferentes versiones), mejorar
 [PH-HI]upgradeability[/PH-HI]    posibilidad de mejora, posibilidad de ampliación
 [PH-HI]upload, to[/PH-HI]    telecargar (de satélite a central)
 [PH-HI]uploaded[/PH-HI]    sobrecargado
 [PH-HI]upper memory area (uma)[/PH-HI]    area de memoria superior
 [PH-HI]upper memory block (umb)[/PH-HI]    bloque de memoria superior
 [PH-HI]upper-case letter[/PH-HI]    letra mayúscula
 [PH-HI]ups (uninterrupted power supply)[/PH-HI]    sai (sistema de alimentación ininterrumpida)
 [PH-HI]upselect, to[/PH-HI]    anular la selección
 [PH-HI]uptime[/PH-HI]    tiempo de actividad (de una máquina)
 [PH-HI]upward compatible[/PH-HI]    de compatibilidad ascendente
 [PH-HI]url (uniform resource locator)[/PH-HI]    localizador unificado de recursos
 [PH-HI]usb (universal serial bus)[/PH-HI]    bus serie universal
 [PH-HI]user[/PH-HI]    usuario
 [PH-HI]user datagram protocol (udp)[/PH-HI]    protocolo de datagramas de usuario
 [PH-HI]user friendly[/PH-HI]    fácil de usar
 [PH-HI]user group (ug)[/PH-HI]    grupo de usuario
 [PH-HI]user identificator (uid)[/PH-HI]    identificador de usuario
 [PH-HI]user request[/PH-HI]    petición de usuario
 [PH-HI]user's guide[/PH-HI]    manual de usuario
 [PH-HI]user's reference[/PH-HI]    referencia del usuario
 [PH-HI]user-friendly[/PH-HI]    amigable, fácil de usar
 [PH-HI]username[/PH-HI]    nombre de usuario
 [PH-HI]usrt (universal synchronous receiver/transmitter)[/PH-HI]    transmisor/receptor universal síncrono
 [PH-HI]utility[/PH-HI]    utilidad
 [PH-HI]utp (unshielded twisted pair)[/PH-HI]    par trenzado sin apantallar, par trenzado sin blindar
 [PH-HI]uucp (unix-to-unix copy program)[/PH-HI]    protocolo de comunicaciones de unix a unix
 [PH-HI]validate, to[/PH-HI]    validar
 [PH-HI]value[/PH-HI]    valor
 [PH-HI]van (value added network)[/PH-HI]    red de valor añadido, red de valor agregado
 [PH-HI]variable[/PH-HI]    variable
 [PH-HI]vector[/PH-HI]    vector
 [PH-HI]velocity tapering[/PH-HI]    abocinado de velocidad
 [PH-HI]verify, to[/PH-HI]    comprobar
 [PH-HI]version[/PH-HI]    versión
 [PH-HI]vfd (vacuum fluorescent displays)[/PH-HI]    pantalla de vacío fluorescente
 [PH-HI]vga plus (svga)[/PH-HI]    super adaptador de gráficos de vídeo
 [PH-HI]video adaptor board[/PH-HI]    tarjeta de adaptador de vídeo
 [PH-HI]video amplifier[/PH-HI]    amplificador de vídeo
 [PH-HI]video controller[/PH-HI]    controladora de vídeo, tarjeta de vídeo
 [PH-HI]video display board[/PH-HI]    tarjeta de vídeo, controladora de vídeo
 [PH-HI]video display terminal (vdt)[/PH-HI]    terminal de pantalla de vídeo
 [PH-HI]video display unit (vdu)[/PH-HI]    unidad de pantalla de vídeo
 [PH-HI]video electronics standards association (vesa)[/PH-HI]    asociación de estándares de vídeo y electrónica
 [PH-HI]video graphics adapter (vga)[/PH-HI]    adaptador de gráficos de vídeo
 [PH-HI]video processor[/PH-HI]    procesador de vídeo
 [PH-HI]view[/PH-HI]    vista
 [PH-HI]view, to[/PH-HI]    ver, modo de ver
 [PH-HI]viewer[/PH-HI]    visualizador
 [PH-HI]virtual[/PH-HI]    virtual
 [PH-HI]virtual disk (vdisk)[/PH-HI]    disco virtual
 [PH-HI]virtual file allocation table (vfat)[/PH-HI]    tabla de asignación de archivos virtual
 [PH-HI]virtual network system (vines)[/PH-HI]    sistema de redes virtual
 [PH-HI]virus[/PH-HI]    virus
 [PH-HI]virus detection[/PH-HI]    detección de virus
 [PH-HI]visca (video system control architecture)[/PH-HI]    arquitectura de control de sistema de vídeo
 [PH-HI]vlb (vesa local bus)[/PH-HI]    bus local de vesa
 [PH-HI]vm (virtual machine)[/PH-HI]    máquina virtual
 [PH-HI]vm (virtual memory)[/PH-HI]    memoria virtual
 [PH-HI]vm/sp (virtual machine/system product)[/PH-HI]    máquina virtual / producto de sistema
 [PH-HI]voice information service (vis)[/PH-HI]    servicio de información de voz
 [PH-HI]voice mail[/PH-HI]    correo de voz
 [PH-HI]voice recognition[/PH-HI]    reconocimiento de voz
 [PH-HI]void[/PH-HI]    defecto de impresión, defecto de entintado
 [PH-HI]voltage[/PH-HI]    tensión
 [PH-HI]volume[/PH-HI]    volumen
 [PH-HI]volume label[/PH-HI]    etiqueta de volumen
 [PH-HI]vr (virtual reality)[/PH-HI]    realidad virtual
 [PH-HI]vram (video random access memory)[/PH-HI]    memoria de acceso aleatorio de vídeo
 [PH-HI]vrc (vertical redundancy check)[/PH-HI]    control de redundancia vertical
 [PH-HI]vrl (virtual reality language), vrml[/PH-HI]    lenguaje de realidad virtual
 [PH-HI]vrml (virtual reality modeling language), vrl[/PH-HI]    lenguaje de modelado de realidad virtual
 [PH-HI]vsam (virtual storage access method)[/PH-HI]    método de acceso de almacenamiento virtual
 [PH-HI]vt (video terminal)[/PH-HI]    terminal de vídeo
 [PH-HI]vt (virtual terminal)[/PH-HI]    terminal virtual
 [PH-HI]wafer[/PH-HI]    microplaqueta
 [PH-HI]wait[/PH-HI]    espera
 [PH-HI]wait state[/PH-HI]    estado de espera
 [PH-HI]wallpaper[/PH-HI]    papel tapiz
 [PH-HI]wand[/PH-HI]    lápiz lector
 [PH-HI]warm start[/PH-HI]    arranque en caliente, iniciar en caliente
 [PH-HI]warning[/PH-HI]    advertencia, aviso, alarma
 [PH-HI]warning system[/PH-HI]    sistema de alarma
 [PH-HI]washer[/PH-HI]    arandela
 [PH-HI]watchdog timer[/PH-HI]    temporizador de guarda
 [PH-HI]wave[/PH-HI]    onda
 [PH-HI]web page[/PH-HI]    página web
 [PH-HI]webmaster[/PH-HI]    administrador de web
 [PH-HI]weight[/PH-HI]    grosor
 [PH-HI]weighted code[/PH-HI]    código ponderado
 [PH-HI]wide area information service (wais)[/PH-HI]    servidores de información de área amplia
 [PH-HI]wide area network (wan)[/PH-HI]    red de área amplia o extensa
 [PH-HI]wideband[/PH-HI]    banda ancha
 [PH-HI]width[/PH-HI]    ancho
 [PH-HI]wildcard[/PH-HI]    comodín, metacarácter
 [PH-HI]window[/PH-HI]    ventana
 [PH-HI]window manager[/PH-HI]    administrador de ventanas
 [PH-HI]windows application binary interface (wabi)[/PH-HI]    interfaz binario de windows de aplicación
 [PH-HI]wire[/PH-HI]    hilo, cable, alambre
 [PH-HI]wizard[/PH-HI]    asistente
 [PH-HI]wmc (warning and maintenance computer)[/PH-HI]    ordenador de aviso y mantenimiento
 [PH-HI]word[/PH-HI]    palabra
 [PH-HI]word processing[/PH-HI]    tratamiento de texto
 [PH-HI]word processor[/PH-HI]    procesador de texto
 [PH-HI]word wrap[/PH-HI]    ajuste automático de línea
 [PH-HI]work breakdown structure (wbs)[/PH-HI]    estructura de descomposición de trabajos
 [PH-HI]workgroup[/PH-HI]    grupo de trabajo
 [PH-HI]working directory[/PH-HI]    directorio de trabajo
 [PH-HI]worksheet[/PH-HI]    hoja de cálculo
 [PH-HI]workspace[/PH-HI]    area de trabajo
 [PH-HI]workstation[/PH-HI]    estación de trabajo, terminal
 [PH-HI]worm (write-once, read-many)[/PH-HI]    una sola escritura - varias lecturas, escribir una vez - leer muchas
 [PH-HI]wosa (windows open services architecture)[/PH-HI]    arquitectura de servicios abiertos de windows
 [PH-HI]wram (windows random access memory)[/PH-HI]    ram de windows
 [PH-HI]wrap-around[/PH-HI]    retorno del cursor
 [PH-HI]write protect notch[/PH-HI]    pestaña de protección contra escritura
 [PH-HI]write protection[/PH-HI]    protección contra escritura
 [PH-HI]write-once, read-many (worm)[/PH-HI]    una sola escritura - varias lecturas
 [PH-HI]www (world wide web)[/PH-HI]    telaraña mundial, multimalla mundial (mmm)
 [PH-HI]wysiwyg (what you see is what you get)[/PH-HI]    lo que se ve es lo que se obtiene, lo que ser ve es lo que se imprime
 [PH-HI]xdr (external data representation)[/PH-HI]    representación externa de datos
 [PH-HI]xga (extended graphics array)[/PH-HI]    matriz de gráficos extendida
 [PH-HI]xma (extended memory adaptor)[/PH-HI]    adaptador de memoria extendida
 [PH-HI]xmm (extended memory manager)[/PH-HI]    administrador de memoria extendida
 [PH-HI]xms (extended memory specification)[/PH-HI]    especificación de memoria extendida
 [PH-HI]xns (xerox network services)[/PH-HI]    protocolo de red de rank xerox
 [PH-HI]xor (exclusive or operator)[/PH-HI]    operador "o" exclusivo
 [PH-HI]xti (x/open transport interface)[/PH-HI]    interfaz de transporte x/open
 [PH-HI]yield[/PH-HI]    rendimiento
 [PH-HI]yield, to[/PH-HI]    rendir, producir
 [PH-HI]zap, to[/PH-HI]    borrar, suprimir
 [PH-HI]zero[/PH-HI]    cero
 [PH-HI]zero set[/PH-HI]    puesta a cero
 [PH-HI]zif (zero insertion force)[/PH-HI]    zócalo zif
 [PH-HI]zoom[/PH-HI]    zoom
 [PH-HI]zoom in, to[/PH-HI]    aumentar
 [PH-HI]zoom out, to[/PH-HI]    reducir
