[PHTITLE]INTERNET AND COMPUTER TERMS - Part 1

 [PH-HI]aberration[/PH-HI]    aberración
 [PH-HI]chart[/PH-HI]    gráfico, cuadro, tabla
 [PH-HI]chassis[/PH-HI]    chasis
 [PH-HI]chat[/PH-HI]    grupos de discusión, grupos de debate
 [PH-HI]chat, to[/PH-HI]    conversar, charlar
 [PH-HI]check bit[/PH-HI]    bit de comprobación
 [PH-HI]check digit[/PH-HI]    dígito de control
 [PH-HI]check in, to[/PH-HI]    ingresar
 [PH-HI]check light[/PH-HI]    luz indicadora de error, luz de control
 [PH-HI]check mark[/PH-HI]    marca de verificación
 [PH-HI]check out, to[/PH-HI]    retirar
 [PH-HI]check sum[/PH-HI]    suma de verificación, suma de comprobación
 [PH-HI]check, to[/PH-HI]    controlar, comprobar, verificar
 [PH-HI]checkout[/PH-HI]    verificación
 [PH-HI]checkpoint[/PH-HI]    punto de control
 [PH-HI]chevrons[/PH-HI]    comillas angulares
 [PH-HI]chip[/PH-HI]    chip, pastilla, microplaca
 [PH-HI]chronogram[/PH-HI]    cronograma
 [PH-HI]cip (calendar interoperatibility protocol)[/PH-HI]    protocolo de transmisiones entre calendarios
 [PH-HI]circuit[/PH-HI]    circuito
 [PH-HI]circuit switching[/PH-HI]    conmutación de circuitos
 [PH-HI]circuitry[/PH-HI]    circuitería, conjunto de circuitos
 [PH-HI]class[/PH-HI]    clase
 [PH-HI]clean, to[/PH-HI]    limpiar, eliminar
 [PH-HI]clear key[/PH-HI]    tecla de borrado
 [PH-HI]clear, to[/PH-HI]    borrar (la pantalla), despejar
 [PH-HI]click, to[/PH-HI]    presionar (botón del ratón), hacer clic
 [PH-HI]client[/PH-HI]    cliente
 [PH-HI]client-server model[/PH-HI]    modelo cliente-servidor
 [PH-HI]client/server architecture[/PH-HI]    arquitectura cliente/servidor
 [PH-HI]clip art[/PH-HI]    galería de imágenes, imagen
 [PH-HI]clipboard[/PH-HI]    portapapeles
 [PH-HI]clock (clk)[/PH-HI]    reloj
 [PH-HI]clock speed[/PH-HI]    velocidad del reloj
 [PH-HI]clockwise[/PH-HI]    sentido de las agujas del reloj
 [PH-HI]clone[/PH-HI]    clónico, clon
 [PH-HI]close[/PH-HI]    cerrar
 [PH-HI]closed loop[/PH-HI]    bucle cerrado
 [PH-HI]cluster[/PH-HI]    clúster
 [PH-HI]cluster, to[/PH-HI]    agrupar
 [PH-HI]clustered devices[/PH-HI]    dispositivos agrupados
 [PH-HI]coalition for network information (cni)[/PH-HI]    coalición para la información en la red
 [PH-HI]coaxial cable[/PH-HI]    cable coaxial
 [PH-HI]code[/PH-HI]    código
 [PH-HI]code translator feature[/PH-HI]    dispositivo de conversión de códigos
 [PH-HI]codecs (compression and decompression)[/PH-HI]    comprimir y descomprimir
 [PH-HI]coding[/PH-HI]    codificación
 [PH-HI]coding form[/PH-HI]    hoja de codificación
 [PH-HI]coding line[/PH-HI]    línea de codificación
 [PH-HI]cold boot[/PH-HI]    arranque en frío
 [PH-HI]collapse, to[/PH-HI]    contraer
 [PH-HI]collate, to[/PH-HI]    intercalar
 [PH-HI]collating sequence[/PH-HI]    secuencia de intercalación
 [PH-HI]colon[/PH-HI]    dos puntos (/)
 [PH-HI]color graphics adapter (cga)[/PH-HI]    adaptador de gráficos a color
 [PH-HI]column[/PH-HI]    columna
 [PH-HI]com port[/PH-HI]    puerto de comunicaciones
 [PH-HI]command[/PH-HI]    comando, instrucción, orden, mandato
 [PH-HI]command line[/PH-HI]    línea de comando/s
 [PH-HI]command-driven software[/PH-HI]    software gobernado por comandos
 [PH-HI]commercial internet exchange (cix)[/PH-HI]    intercambio comercial internet
 [PH-HI]common application environment (cae)[/PH-HI]    entorno de aplicaciones comunes
 [PH-HI]common business oriented language (cobol)[/PH-HI]    lenguaje orientado a problemas de gestión o comerciales
 [PH-HI]common gateway interface (cgi)[/PH-HI]    interfaz de acceso común
 [PH-HI]common management information protocol (cmip)[/PH-HI]    protocolo de información común de gestión
 [PH-HI]common management information services (cmis)[/PH-HI]    servicios de información común de gestión
 [PH-HI]common questions[/PH-HI]    dudas frecuentes
 [PH-HI]communications[/PH-HI]    comunicaciones
 [PH-HI]communications decency act (cda)[/PH-HI]    acta de decencia en las telecomunicaciones
 [PH-HI]communications server[/PH-HI]    servidor de comunicaciones
 [PH-HI]community antenna television (catv)[/PH-HI]    televisión por cable
 [PH-HI]compact disc (cd)[/PH-HI]    disco compacto
 [PH-HI]compact disc - read  only memory (cd-rom)[/PH-HI]    disco compacto de sólo lectura
 [PH-HI]companion[/PH-HI]    libro guía, complemento
 [PH-HI]compile, to[/PH-HI]    compilar
 [PH-HI]compiler[/PH-HI]    compilador
 [PH-HI]complementary metal oxide semiconductor (cmos)[/PH-HI]    semiconductor complementario de óxido y metal
 [PH-HI]complex[/PH-HI]    complejo
 [PH-HI]complex instruction set computer (cisc)[/PH-HI]    conjunto de instrucciones complejas para ordenador
 [PH-HI]component[/PH-HI]    componente
 [PH-HI]compose, to[/PH-HI]    redactar
 [PH-HI]compute, to[/PH-HI]    calcular, computar
 [PH-HI]computer[/PH-HI]    ordenador
 [PH-HI]computer aided design (cad)[/PH-HI]    diseño asistido por ordenador
 [PH-HI]computer aided education (cae)[/PH-HI]    educación asistida por ordenador
 [PH-HI]computer aided engineering (cae)[/PH-HI]    ingeniería asistida por ordenador
 [PH-HI]computer aided instruction (cai)[/PH-HI]    instrucción asistida por ordenador
 [PH-HI]computer aided manufacturing (cam)[/PH-HI]    fabricación asistida por ordenador
 [PH-HI]computer aided software engineering (case)[/PH-HI]    ingeniería del software asistida por ordenador
 [PH-HI]computer aided testing (cat)[/PH-HI]    prueba asistida por ordenador
 [PH-HI]computer based learning (cbl)[/PH-HI]    aprendizaje basado en ordenador
 [PH-HI]computer based training (cbt)[/PH-HI]    entrenamiento basado en ordenador
 [PH-HI]computer crime[/PH-HI]    delito informático
 [PH-HI]computer graphics interface (cgi)[/PH-HI]    interfaz de computadoras para gráficos
 [PH-HI]computer incident advisory capability (ciac)[/PH-HI]    instituto asesor sobre incidentes informáticos
 [PH-HI]computer integrated manufacturing (cim)[/PH-HI]    fabricación integrada por ordenador
 [PH-HI]computer network[/PH-HI]    red informática
 [PH-HI]computer output microfiche (com)[/PH-HI]    microficha de salida de ordenador
 [PH-HI]computer science[/PH-HI]    informática, ciencias de la computación
 [PH-HI]computer wizard[/PH-HI]    asistente informático
 [PH-HI]computerize, to[/PH-HI]    informatizar, mecanizar
 [PH-HI]computing power[/PH-HI]    potencia de calculo
 [PH-HI]concatenate, to[/PH-HI]    concatenar
 [PH-HI]concurrent[/PH-HI]    concurrente
 [PH-HI]condensed letter[/PH-HI]    letra comprimida
 [PH-HI]condensed printing[/PH-HI]    impresión comprimida
 [PH-HI]conductor[/PH-HI]    conductor
 [PH-HI]configuration[/PH-HI]    configuración
 [PH-HI]configure, to[/PH-HI]    configurar
 [PH-HI]confirm[/PH-HI]    confirmar
 [PH-HI]connect, to[/PH-HI]    conectar
 [PH-HI]connection-oriented network service (cns)[/PH-HI]    servicio de red orientado a la conexión
 [PH-HI]connectionless[/PH-HI]    sin conexión
 [PH-HI]connectionless protocols (clp)[/PH-HI]    protocolos no orientados a la conexión
 [PH-HI]connector[/PH-HI]    conector
 [PH-HI]constant[/PH-HI]    constante
 [PH-HI]constant angular velocity (cav)[/PH-HI]    velocidad angular constante
 [PH-HI]constant linear velocity (clv)[/PH-HI]    velocidad lineal constante
 [PH-HI]constructive cost model (cocomo)[/PH-HI]    modelo constructivo de coste
 [PH-HI]consultative committee for international radiocommunications (ccir)[/PH-HI]    comité consultivo para radio-telecomunicaciones internacionales
 [PH-HI]consultative committee on international telegraph and telephone (ccitt)[/PH-HI]    comité consultivo internacional en teléfonos y telégrafos
 [PH-HI]content addressable memory (cam)[/PH-HI]    memoria direccionable por el contenido
 [PH-HI]contention[/PH-HI]    contienda, confrontación (de dispositivos)
 [PH-HI]contiguous[/PH-HI]    contiguo
 [PH-HI]contrast lever[/PH-HI]    palanca de contraste
 [PH-HI]control bus[/PH-HI]    bus de control
 [PH-HI]control center[/PH-HI]    centro de control
 [PH-HI]control program microcomputers (cpm)[/PH-HI]    programa de control de microcomputadoras
 [PH-HI]conventional[/PH-HI]    convencional
 [PH-HI]conventional memory[/PH-HI]    memoria convencional
 [PH-HI]conversational monitor system (cms)[/PH-HI]    sistema monitor conversacional
 [PH-HI]conversion factor[/PH-HI]    factor de conversión
 [PH-HI]convert, to[/PH-HI]    convertir
 [PH-HI]cop (character oriented protocols)[/PH-HI]    protocolos orientados al carácter
 [PH-HI]cop (connection oriented protocols)[/PH-HI]    protocolos orientados a la conexión
 [PH-HI]coprocessor[/PH-HI]    coprocesador
 [PH-HI]copy[/PH-HI]    copiar
 [PH-HI]copy buster[/PH-HI]    dominador de copias
 [PH-HI]cordless[/PH-HI]    inalámbrico
 [PH-HI]core[/PH-HI]    núcleo (en memorias)
 [PH-HI]core memory[/PH-HI]    memoria de núcleos
 [PH-HI]core storage[/PH-HI]    almacenamiento de núcleos
 [PH-HI]correction factor[/PH-HI]    factor de corrección
 [PH-HI]cose (common open software environment)[/PH-HI]    entorno de software abierto
 [PH-HI]counter[/PH-HI]    contador
 [PH-HI]coupler[/PH-HI]    acoplador
 [PH-HI]coupling[/PH-HI]    acoplamiento
 [PH-HI]courseware[/PH-HI]    software didáctico
 [PH-HI]courtesy copy (cc, cc)[/PH-HI]    copia de cortesía
 [PH-HI]coverage[/PH-HI]    alcance
 [PH-HI]cp/m (control program for microcomputers)[/PH-HI]    programa de control para microcomputadoras
 [PH-HI]cpi (characters per inch)[/PH-HI]    caracteres por pulgada
 [PH-HI]cps (characters per second)[/PH-HI]    caracteres por segundo
 [PH-HI]cpu (central processing unit)[/PH-HI]    ucp (unidad central de procesos)
 [PH-HI]cr (carry return)[/PH-HI]    retorno de carro
 [PH-HI]crack a code, to[/PH-HI]    descubrir un código, romper un código
 [PH-HI]cram (card random access memory)[/PH-HI]    tarjeta con memoria de acceso aleatorio
 [PH-HI]crash[/PH-HI]    fallo, bloqueo (del sistema); quedarse bloqueado
 [PH-HI]crash, to[/PH-HI]    bloquearse, quedarse bloqueado
 [PH-HI]create, to[/PH-HI]    crear
 [PH-HI]cren (computer research and education network)[/PH-HI]    red informática de educación e investigación
 [PH-HI]criteria[/PH-HI]    criterio
 [PH-HI]critical error[/PH-HI]    error crítico
 [PH-HI]critical path method (cpm)[/PH-HI]    método de camino crítico
 [PH-HI]crop, to[/PH-HI]    recortar
 [PH-HI]cross-hair pointer[/PH-HI]    puntero en forma de cruz
 [PH-HI]cross-reference[/PH-HI]    referencia cruzada
 [PH-HI]crosstalk[/PH-HI]    interferencia (en comunicaciones)
 [PH-HI]crs (computer reservation system)[/PH-HI]    sistema computerizado de reservas
 [PH-HI]crt (cathode ray tube)[/PH-HI]    tubo de rayos catódicos
 [PH-HI]cslip (compressed serial line protocol)[/PH-HI]    protocolo de línea serie comprimido
 [PH-HI]csma (carrier sense multiple access)[/PH-HI]    acceso múltiple por detección de portadora
 [PH-HI]ctcp (client to client protocol)[/PH-HI]    protocolo cliente a cliente
 [PH-HI]ctl (complementary transistor logical)[/PH-HI]    transistor lógico complementario
 [PH-HI]cts (clear to send)[/PH-HI]    preparado para transmitir
 [PH-HI]currency[/PH-HI]    moneda
 [PH-HI]current[/PH-HI]    actual, en uso
 [PH-HI]cursor[/PH-HI]    cursor
 [PH-HI]curve fitting[/PH-HI]    ajuste de curvas
 [PH-HI]custom options[/PH-HI]    opciones de personalización
 [PH-HI]customer information control system (cics)[/PH-HI]    sistema de control de información de clientes
 [PH-HI]customer support[/PH-HI]    asistencia técnica
 [PH-HI]customize, to[/PH-HI]    personalizar
 [PH-HI]cut[/PH-HI]    cortar
 [PH-HI]cut (control unit terminal)[/PH-HI]    terminal de unidad de control
 [PH-HI]cut off, to[/PH-HI]    cortar (el abastecimiento)
 [PH-HI]cut-sheet feeder[/PH-HI]    alimentador de papel cortado (folios)
 [PH-HI]cwis (campus wide information system)[/PH-HI]    sistema de información universitario
 [PH-HI]cybernetic[/PH-HI]    cibernético/a
 [PH-HI]cyberspace[/PH-HI]    ciberespacio
 [PH-HI]cyclic[/PH-HI]    cíclico/a
 [PH-HI]cyclic redundancy check (crc)[/PH-HI]    código de redundancia cíclica
 [PH-HI]cylinder[/PH-HI]    cilindro
 [PH-HI]daisy-wheel printer[/PH-HI]    impresora de margarita
 [PH-HI]dash[/PH-HI]    guión (-)
 [PH-HI]data[/PH-HI]    dato
 [PH-HI]data bus[/PH-HI]    bus de datos
 [PH-HI]data diddling[/PH-HI]    falsificación de datos
 [PH-HI]data highway[/PH-HI]    autopista de la información, autopista de datos, infopista
 [PH-HI]data leakage[/PH-HI]    copia de datos, extracción de datos
 [PH-HI]data line[/PH-HI]    línea de datos
 [PH-HI]data throughput[/PH-HI]    caudal de datos
 [PH-HI]database[/PH-HI]    base de datos
 [PH-HI]databit[/PH-HI]    bit de datos
 [PH-HI]datacom (data communications)[/PH-HI]    comunicación de datos
 [PH-HI]datagram[/PH-HI]    datagrama
 [PH-HI]dataset[/PH-HI]    conjunto de datos
 [PH-HI]datasheet[/PH-HI]    hoja de datos
 [PH-HI]date[/PH-HI]    fecha
 [PH-HI]daughter board[/PH-HI]    tarjeta secundaria, tarjeta subsidiaria
 [PH-HI]dbms (database managing system)[/PH-HI]    sistema de administración de bases de datos
 [PH-HI]dcd (data carrier detect)[/PH-HI]    detección de portadora de datos
 [PH-HI]de facto standard[/PH-HI]    estándar de facto
 [PH-HI]deadlock[/PH-HI]    punto muerto, interbloqueo
 [PH-HI]deallocate, to[/PH-HI]    reasignar, volver a asignar
 [PH-HI]debug[/PH-HI]    depurar, corregir errores, limpiar
 [PH-HI]decibel (db)[/PH-HI]    decibelio
 [PH-HI]decimal[/PH-HI]    decimal
 [PH-HI]decipher, to[/PH-HI]    decodificar, descifrar
 [PH-HI]decision-making[/PH-HI]    toma de decisiones
 [PH-HI]decode, to[/PH-HI]    decodificar
 [PH-HI]decoder[/PH-HI]    decodificador
 [PH-HI]decompress value[/PH-HI]    valor de descompresión
 [PH-HI]decompress, to[/PH-HI]    descomprimir
 [PH-HI]decouple, to[/PH-HI]    desacoplar
 [PH-HI]decrypt, to[/PH-HI]    descifrar
 [PH-HI]dedicated line[/PH-HI]    línea dedicada
 [PH-HI]default[/PH-HI]    por defecto, por omisión, predeterminado
 [PH-HI]default file[/PH-HI]    fichero por defecto
 [PH-HI]defense advanced research projects agency (darpa)[/PH-HI]    agencia del departamento de defensa (estadounidense) para proyectos de investigación avanzados
 [PH-HI]define, to[/PH-HI]    definir
 [PH-HI]degausser[/PH-HI]    desimantador, desmagnetizador
 [PH-HI]dejaggies[/PH-HI]    supresión de irregularidades
 [PH-HI]delay[/PH-HI]    retardo
 [PH-HI]delay circuit[/PH-HI]    circuito de retardo
 [PH-HI]delay time[/PH-HI]    tiempo de retardo
 [PH-HI]delete[/PH-HI]    borrar, eliminar, suprimir
 [PH-HI]delimiter[/PH-HI]    delimitador
 [PH-HI]delivery[/PH-HI]    entrega
 [PH-HI]demodulator[/PH-HI]    demodulador
 [PH-HI]demonstration[/PH-HI]    demostración
 [PH-HI]density[/PH-HI]    densidad
 [PH-HI]des (data encryption standard)[/PH-HI]    algoritmo de encriptación estándar
 [PH-HI]deselect[/PH-HI]    quitar la selección
 [PH-HI]design[/PH-HI]    diseño
 [PH-HI]desktop[/PH-HI]    escritorio
 [PH-HI]desktop publishing[/PH-HI]    autoedición
 [PH-HI]destination[/PH-HI]    destino, destinación
 [PH-HI]detachable keyboard[/PH-HI]    teclado desmontable, tarjeta separable
 [PH-HI]device[/PH-HI]    dispositivo
 [PH-HI]dial[/PH-HI]    marcador
 [PH-HI]dial-up[/PH-HI]    marcar
 [PH-HI]dial-up line[/PH-HI]    línea de mercado
 [PH-HI]dictionary[/PH-HI]    diccionario
 [PH-HI]dif (data interchange format)[/PH-HI]    formato de intercambio de datos
 [PH-HI]differential phase[/PH-HI]    fase diferencial
 [PH-HI]digit[/PH-HI]    dígito
 [PH-HI]digital[/PH-HI]    digital
 [PH-HI]digital audio tape (dat)[/PH-HI]    cinta audio digital
 [PH-HI]digital camera[/PH-HI]    cámara digital
 [PH-HI]digital circuit[/PH-HI]    circuito digital
 [PH-HI]digital mode[/PH-HI]    modo digital
 [PH-HI]digital signature[/PH-HI]    firma digital
 [PH-HI]digitize, to[/PH-HI]    digitalizar
 [PH-HI]digitizer[/PH-HI]    digitalizador
 [PH-HI]dim, to[/PH-HI]    atenuar
 [PH-HI]dimension, to[/PH-HI]    dimensionar
 [PH-HI]diode[/PH-HI]    diodo
 [PH-HI]dip switch[/PH-HI]    conmutador de paquete en doble fila
 [PH-HI]direccional coupler[/PH-HI]    acoplador direccional
 [PH-HI]direct access (da)[/PH-HI]    acceso directo
 [PH-HI]direct current (dc)[/PH-HI]    corriente continua
 [PH-HI]direct-connect modem[/PH-HI]    módem de conexión directa
 [PH-HI]direction[/PH-HI]    dirección
 [PH-HI]directive[/PH-HI]    directiva
 [PH-HI]directory[/PH-HI]    directorio
 [PH-HI]disable, to[/PH-HI]    deshabilitar, inhibir
 [PH-HI]disconnect, to[/PH-HI]    desacoplar, desconectar
 [PH-HI]disk[/PH-HI]    disco
 [PH-HI]diskette[/PH-HI]    disquete, disco flexible
 [PH-HI]display[/PH-HI]    presentación, visualización.  pantalla
 [PH-HI]display, to[/PH-HI]    presentar o mostrar en pantalla, visualizar
 [PH-HI]distributed data processing (ddp)[/PH-HI]    proceso distribuido de datos
 [PH-HI]distributed function terminal (dft)[/PH-HI]    terminal de funciones distribuida
 [PH-HI]disturbance[/PH-HI]    alteración
 [PH-HI]dithering[/PH-HI]    fusionando (colores)
 [PH-HI]ditto[/PH-HI]    idem
 [PH-HI]dma (direct memory access)[/PH-HI]    acceso directo a memoria
 [PH-HI]dock, to[/PH-HI]    acoplar
 [PH-HI]dockable[/PH-HI]    acoplable
 [PH-HI]document[/PH-HI]    documento
 [PH-HI]dod (department of defense)[/PH-HI]    departamento de defensa (estadounidense)
 [PH-HI]domain[/PH-HI]    dominio
 [PH-HI]domain name system (dns)[/PH-HI]    sistema de nombres de dominio
 [PH-HI]doorway[/PH-HI]    puerta de entrada
 [PH-HI]dos (disk operating system)[/PH-HI]    sistema operativo en disco
 [PH-HI]dos boot record (dbr)[/PH-HI]    sector de arranque del dos
 [PH-HI]dot[/PH-HI]    punto
 [PH-HI]dot matrix printer[/PH-HI]    impresora matricial, impresora matricial de puntos
 [PH-HI]double density (dd)[/PH-HI]    doble densidad
 [PH-HI]double strike[/PH-HI]    doble impresión
 [PH-HI]double-click[/PH-HI]    hacer doble clic
 [PH-HI]download, to[/PH-HI]    bajar, telecargar (de central a satélite), descargar
 [PH-HI]downtime[/PH-HI]    tiempo de inactividad (de avería)
 [PH-HI]downward compatible[/PH-HI]    compatibilidad descendente
 [PH-HI]dp (data processing)[/PH-HI]    procesamiento de datos
 [PH-HI]dpi (dots per inch)[/PH-HI]    puntos por pulgada
 [PH-HI]draft quality (dq)[/PH-HI]    calidad borrador
 [PH-HI]drag and drop[/PH-HI]    arrastrar y soltar, arrastrar y colocar
 [PH-HI]drag, to[/PH-HI]    arrastrar
 [PH-HI]dragging[/PH-HI]    deslizamiento
 [PH-HI]drift[/PH-HI]    deriva (de una señal)
 [PH-HI]driver[/PH-HI]    controlador
 [PH-HI]drop-down menu[/PH-HI]    menú desplegable
 [PH-HI]drum plotter[/PH-HI]    trazador de tambor
 [PH-HI]dsp (digital signal processor)[/PH-HI]    procesador digital de señal
 [PH-HI]dsr (data set ready)[/PH-HI]    equipo de datos preparado
 [PH-HI]dss (decision support system)[/PH-HI]    sistema de apoyo a la decisión
 [PH-HI]dtce (data terminal-circuit equipment)[/PH-HI]    equipo terminal del circuito de datos
 [PH-HI]dte (data terminal equipment)[/PH-HI]    equipo terminal de datos
 [PH-HI]dtr (data terminal ready)[/PH-HI]    terminal de datos preparada
 [PH-HI]dual in line package (dip)[/PH-HI]    paquete en doble fila
 [PH-HI]dual independent bus (dib)[/PH-HI]    bus dual independiente
 [PH-HI]dual tone multifrequency (dtmf)[/PH-HI]    multifrecuencia de doble tono
 [PH-HI]dual-axis[/PH-HI]    eje dual
 [PH-HI]dummy instruction[/PH-HI]    instrucción ficticia, instrucción simulada
 [PH-HI]dump, to[/PH-HI]    descargar, volcar
 [PH-HI]duplex[/PH-HI]    dúplex
 [PH-HI]dvb (digital video broadcast)[/PH-HI]    vídeo digital para emisión
 [PH-HI]dvd (digital video disk)[/PH-HI]    disco de vídeo digital
 [PH-HI]dvi (digital video interactive)[/PH-HI]    vídeo digital interactivo
 [PH-HI]dynamic[/PH-HI]    dinámico
 [PH-HI]dynamic data exchange (dde)[/PH-HI]    intercambio dinámico de datos
 [PH-HI]dynamic execution[/PH-HI]    ejecución dinámica
 [PH-HI]dynamic random access memory (dram)[/PH-HI]    ram dinámica
 [PH-HI]e-mail (electronic mail)[/PH-HI]    correo electrónico
 [PH-HI]e-zine (electronic magazine)[/PH-HI]    revista electrónica
 [PH-HI]echo[/PH-HI]    eco
 [PH-HI]edit, to[/PH-HI]    editar
 [PH-HI]elapsed time[/PH-HI]    tiempo transcurrido
 [PH-HI]electrically erasable programmable read-only memory (eeprom)[/PH-HI]    rom programable borrable eléctricamente
 [PH-HI]electronic bulletin board[/PH-HI]    sistema de tablón de anuncios electrónico
 [PH-HI]electronic data interchange (edi)[/PH-HI]    intercambio electrónico de datos
 [PH-HI]electronic data interchange for administration, commerce and transport (edifact)[/PH-HI]    intercambio electrónico de datos para administración, comercio y transporte
 [PH-HI]electronic data processing (edp)[/PH-HI]    procesamiento electrónico de datos
 [PH-HI]electronic form (e-form)[/PH-HI]    formulario electrónico
 [PH-HI]electronic frontier foundation (eff)[/PH-HI]    fundación frontera electrónica
 [PH-HI]electronic industries association (eia)[/PH-HI]    asociación de industrias electrónicas
 [PH-HI]ellipses[/PH-HI]    puntos suspensivos (...)
 [PH-HI]em dash[/PH-HI]    guión largo
 [PH-HI]em space[/PH-HI]    espacio largo
 [PH-HI]embed, to[/PH-HI]    incrustar
 [PH-HI]embedded system[/PH-HI]    sistema insertado
 [PH-HI]emulator[/PH-HI]    emulador
 [PH-HI]en dash[/PH-HI]    guión corto
 [PH-HI]encode, to[/PH-HI]    codificar
 [PH-HI]encoder[/PH-HI]    codificador
 [PH-HI]encryption[/PH-HI]    encriptación, cifrado
 [PH-HI]end[/PH-HI]    extremo, final, fin
 [PH-HI]end delimiter (ed)[/PH-HI]    final de trama
 [PH-HI]end mark[/PH-HI]    marca de fin
 [PH-HI]end-user[/PH-HI]    usuario final
 [PH-HI]engine[/PH-HI]    generador, máquina
 [PH-HI]engineer[/PH-HI]    ingeniero
 [PH-HI]enhance, to[/PH-HI]    mejorar, innovar, aumentar, ampliar
 [PH-HI]enhanced dynamic random access memory (edram)[/PH-HI]    ram dinámica mejorada
 [PH-HI]enhanced graphics adapter (ega)[/PH-HI]    adaptador de gráficos mejorado
 [PH-HI]enhanced integrated device electronics (eide)[/PH-HI]    electrónica de dispositivos integrados mejorados
 [PH-HI]enter, to[/PH-HI]    introducir
 [PH-HI]entity[/PH-HI]    entidad
 [PH-HI]entry[/PH-HI]    entrada, elemento
 [PH-HI]environment[/PH-HI]    entorno
 [PH-HI]eof (end of file)[/PH-HI]    final de fichero
 [PH-HI]eot (end of transmission)[/PH-HI]    fin de transmisión
 [PH-HI]epp (enhanced parallel port)[/PH-HI]    puerto paralelo mejorado
 [PH-HI]eps (encapsulated postscript)[/PH-HI]    postscript encapsulado
 [PH-HI]erasable programmable read-only memory (eprom)[/PH-HI]    rom programable borrable
 [PH-HI]error[/PH-HI]    error
 [PH-HI]error checking and correction (ecc)[/PH-HI]    corrección y chequeo de errores
 [PH-HI]etb (end of transmission block)[/PH-HI]    fin de bloque de transmisión
 [PH-HI]etx (end of text)[/PH-HI]    fin de texto
 [PH-HI]european communication satellite (ecs)[/PH-HI]    sistema europeo de satélites de comunicaciones
 [PH-HI]european computer manufacturer association (ecma)[/PH-HI]    asociación europea de fabricantes de ordenadores
 [PH-HI]european telecommunications standards institute (etsi)[/PH-HI]    instituto europeo de estándares en telecomunicaciones
 [PH-HI]event[/PH-HI]    evento
 [PH-HI]event handler[/PH-HI]    manejador de eventos
 [PH-HI]event-driven[/PH-HI]    activado por eventos
 [PH-HI]example[/PH-HI]    ejemplo
 [PH-HI]exception report[/PH-HI]    informe de excepción
 [PH-HI]exchange, to[/PH-HI]    cambiar, intercambiar
 [PH-HI]executive program[/PH-HI]    programa ejecutivo
 [PH-HI]exit[/PH-HI]    salir
 [PH-HI]expand, to[/PH-HI]    expandir
 [PH-HI]expanded memory manager (emm)[/PH-HI]    administrador de memoria expandida
 [PH-HI]expanded memory specification (ems)[/PH-HI]    especificación de memoria expandida
 [PH-HI]expert system[/PH-HI]    sistema experto
 [PH-HI]explore, to[/PH-HI]    explorar
 [PH-HI]export, to[/PH-HI]    exportar
 [PH-HI]extended binary coded decimal interchange code (ebcdic)[/PH-HI]    código extendido de binario codificado decimal
 [PH-HI]extended industry standard architecture (eisa)[/PH-HI]    arquitectura estándar industrial extendidas, arquitectura eisa
 [PH-HI]extensibility[/PH-HI]    extensibilidad
 [PH-HI]extension[/PH-HI]    extensión
 
